name_he,code,name_en
אבו ג'ווייעד (שבט),967,Abu Juway'ad
אבו גוש,472,Abu Ghosh
אבו סנאן,473,Abu Sinan
אבו סריחאן (שבט),935,Abu Surayhan
אבו עבדון (שבט),958,Abu 'Abdun
אבו עמאר (שבט),1042,Abu 'Ammar
אבו עמרה (שבט),932,Abu 'Amra
אבו קורינאת (יישוב),1342,Abu Qureinat
אבו קורינאת (שבט),968,Abu Kuraynat
אבו רובייעה (שבט),966,Abu Rubay'a
אבו רוקייק (שבט),961,Abu Rukayyek
אבו תלול,1375,Abu Tulul
אבטין,652,Ibtin
אבטליון,1275,Avtalyon
אביאל,679,Avi'el
אביבים,1115,Avivim
אביגדור,819,Avigedor
אביחיל,175,Avihayil
אביטל,2052,Avital
אביעזר,1070,Avi'ezer
אבירים,1220,Abbirim
אבן יהודה,182,Even Yehuda
אבן מנחם,1081,Even Menahem
אבן ספיר,783,Even Sappir
אבן שמואל,400,Even Shemu'el
אבני איתן,4011,Avne Etan
אבני חפץ,3793,Avne Hefez
אבנת,3786,Avenat
אבשלום,1311,Avshalom
אדורה,3759,Adora
אדירים,113,Addirim
אדמית,1068,Adamit
אדרת,1123,Adderet
אודים,446,Udim
אודם,4010,Odem
אוהד,1046,Ohad
אום אל-פחם,2710,Umm al-Fahm
אום אל-קוטוף,2024,Umm Al-Qutuf
אום בטין,1358,Umm Batin
אומן,1108,Omen
אומץ,680,Omez
אופקים,31,Ofaqim
אור הגנוז,1294,Or HaGanuz
אור הנר,67,Or HaNer
אור יהודה,2400,Or Yehuda
אור עקיבא,1020,Or Aqiva
אורה,780,Ora
אורון,1771,
אורות,2012,Orot
אורטל,4013,Ortal
אורים,403,Urim
אורנים,882,Oranim
אורנית,3760,Oranit
אושה,278,Usha
אזור,565,Azor
"אזור אילון מ""א 4",1852,
"אזור אילון מ""א 52",1851,
"אזור אילון של""ש",1853,
"אזור אשדוד מ""א 29",1922,
"אזור אשדוד מ""א 33",1921,
"אזור אשדוד של""ש",1923,
"אזור אשקלון מ""א 36",1924,
"אזור אשקלון מ""א 37",1926,
"אזור באר שבע מ""א 41",1937,
"אזור באר שבע מ""א 51",1938,
"אזור באר שבע של""ש",1939,
"אזור בשור מ""א 38",1933,
"אזור בשור מ""א 39",1935,
"אזור בשור מ""א 42",1934,
"אזור גלילות מ""א 19",1907,
"אזור גרר מ""א 39",1931,
"אזור גרר מ""א 41",1929,
"אזור גרר מ""א 42",1930,
"אזור זכרון יעקב מ""א 15",1866,
"אזור זכרון יעקב של""ש",1867,
"אזור חדרה מ""א 14",1873,
"אזור חדרה מ""א 15",1872,
"אזור חדרה מ""א 45",1871,
"אזור חדרה של""ש",1874,
"אזור חולון של""ש",1909,
"אזור חיפה מ""א 12",1860,
"אזור חיפה של""ש",1862,
"אזור חצור מ""א 1",1813,
"אזור חצור מ""א 55",1814,
"אזור חצור של""ש",1815,
"אזור יחיעם מ""א 2",1848,
"אזור יחיעם מ""א 4",1846,
"אזור יחיעם מ""א 52",1847,
"אזור יחיעם מ""א 56",1849,
"אזור יחיעם של""ש",1850,
"אזור ים המלח מ""א 51",1942,
"אזור יקנעם מ""א 13",1836,
"אזור יקנעם מ""א 9",1835,
"אזור כינרות מ""א 3",1805,
"אזור כנרות מ""א 1",1816,
"אזור כנרות מ""א 6",1817,
"אזור כנרות של""ש",1818,
"אזור כרמיאל מ""א 2",1843,
"אזור כרמיאל מ""א 56",1844,
"אזור כרמיאל של""ש",1845,
"אזור לכיש מ""א 34",1919,
"אזור לכיש מ""א 35",1917,
"אזור לכיש מ""א 41",1920,
"אזור לכיש מ""א 50",1918,
"אזור מודיעין מ""א 25",1887,
"אזור מודיעין מ""א 30",1890,
"אזור מודיעין של""ש",1895,
"אזור מלאכי מ""א 33",1911,
"אזור מלאכי מ""א 34",1915,
"אזור מלאכי מ""א 35",1913,
"אזור מלאכי מ""א 50",1914,
"אזור נהרייה מ""א 4",1855,
"אזור נהרייה של""ש",1856,
"אזור עכו מ""א 4",1858,
"אזור עכו מ""א 56",1857,
"אזור עכו של""ש",1859,
"אזור פתח תקווה מ""א 20",1888,
"אזור פתח תקווה מ""א 25",1886,
"אזור פתח תקווה של""ש",1889,
"אזור ראשל""צ מ""א 27",1903,
"אזור ראשל""צ של""ש",1904,
"אזור רחובות מ""א 28",1896,
"אזור רחובות מ""א 29",1899,
"אזור רחובות מ""א 30",1898,
"אזור רחובות מ""א 31",1901,
"אזור רחובות מ""א 32",1897,
"אזור רחובות של""ש",1902,
"אזור רמלה מ""א 25",1892,
"אזור רמלה מ""א 30",1891,
"אזור רמלה מ""א 40",1893,
"אזור רמלה של""ש",1894,
"אזור רמת גן של""ש",1908,
"אזור שפרעם מ""א 56",1841,
"אזור שפרעם מ""א 9",1840,
"אזור שפרעם של""ש",1842,
"אזור תל אביב של""ש",1905,
אזור תעסוקה משגב(תרדיון),1724,
"אזור תעשיה אכסאל מ""א 9",1865,
אזור תעשייה אכזיב (מילואות),1726,
אזור תעשייה נעמן (מילואות),1727,
אחווה,1157,Ahawa
אחוזם,821,Ahuzzam
אחוזת ברק,1330,Ahuzzat Baraq
אחיהוד,785,Ahihud
אחיטוב,850,Ahituv
אחיסמך,804,Ahisamakh
אחיעזר,797,Ahi'ezer
אטרש (שבט),965,Atrash
איבים,338,Ibbim
אייל,716,Eyal
איילת השחר,77,Ayyelet HaShahar
אילון,294,Elon
אילון תבור*,1716,
אילות,1126,Elot
אילנייה,49,Ilaniyya
אילת,2600,Elat
אירוס,1336,Irus
איתמר,3762,Itamar
איתן,37,Etan
איתנים,886,Etanim
אכסאל,478,Iksal
אל -עזי,1339,Al-Azy
אל -עריאן,1316,Al-Aryan
אל -רום,4003,El-Rom
אל סייד,1359,Al Sayyid
אלומה,1145,Alumma
אלומות,330,Alummot
אלון הגליל,1182,Allon HaGalil
אלון מורה,3579,Elon More
אלון שבות,3604,Allon Shevut
אלוני אבא,429,Allone Abba
אלוני הבשן,4017,Allone HaBashan
אלוני יצחק,868,Allone Yizhaq
אלונים,285,Allonim
אלי-עד,4002,Eli-Ad
אליאב,1365,Eliav
אליכין,41,Elyakhin
אליפז,1248,Elifaz
אליפלט,730,Elifelet
אליקים,682,Elyaqim
אלישיב,204,Elyashiv
אלישמע,841,Elishama
אלמגור,1125,Almagor
אלמוג,3556,Almog
אלעד,1309,El'ad
אלעזר,3618,El'azar
אלפי מנשה,3750,Alfe Menashe
אלקוש,603,Elqosh
אלקנה,3560,Elqana
אמונים,772,Emunim
אמירים,1064,Amirim
אמנון,1253,Amnun
אמציה,23,Amazya
אניעם,4012,Ani'am
אסד (שבט),960,Asad
אספר,3754,Asfar
אעבלין,529,I'billin
אעצם (שבט),963,A'sam
אפיניש (שבט),959,Afaynish
אפיק,4301,Afiq
אפיקים,176,Afiqim
אפק,313,Afeq
אפרת,3650,Efrat
ארבל,701,Arbel
ארגמן,3598,Argaman
ארז,714,Erez
אריאל,3570,Ari'el
ארסוף,1324,Arsuf
אשבול,71,Eshbol
אשבל,1276,Eshbal
אשדוד,70,Ashdod
אשדות יעקב (איחוד),199,Ashdot Ya'aqov(Ihud)
אשדות יעקב (מאוחד),188,Ashdot Ya'aqov(Me'uhad)
אשחר,1188,Eshhar
אשכולות,3722,Eshkolot
אשל הנשיא,2021,Eshel HaNasi
אשלים,1152,Ashalim
אשקלון,7100,Ashqelon
אשרת,1256,Asherat
אשתאול,740,Eshta'ol
באקה אל-גרביה,6000,Baqa Al-Gharbiyye
באר אורה,21,Be'er Ora
באר גנים,1376,Be'er Gannim
באר טוביה,155,Be'er Toviyya
באר יעקב,2530,Be'er Ya'aqov
באר מילכה,1278,Be'er Milka
באר שבע,9000,Be'er Sheva
בארות יצחק,450,Be'erot Yizhaq
בארותיים,697,Be'erotayim
בארי,399,Be'eri
בוסתן הגליל,559,Bustan HaGalil
בועיינה-נוג'ידאת,482,Bu'eine-Nujeidat
בוקעאתא,4001,Buq'ata
בורגתה,698,Burgeta
בחן,2043,Bahan
בטחה,762,Bitha
"בי""ס אזורי מקיף (אשר)",1725,
ביצרון,234,Bizzaron
ביר אל-מכסור,998,Bir El-Maksur
ביר הדאג',1348,Bir Hadage
בירייה,368,Biriyya
בית אורן,317,Bet Oren
בית אל,3574,Bet El
בית אלעזרי,562,Bet El'azari
בית אלפא,95,Bet Alfa
בית אריה,3652,Bet Arye
בית ברל,1076,Bet Berl
בית ג'ן,480,Beit Jann
בית גוברין,619,Bet Guvrin
בית גמליאל,571,Bet Gamli'el
בית דגן,466,Bet Dagan
בית הגדי,723,Bet HaGaddi
בית הלוי,373,Bet HaLewi
בית הלל,322,Bet Hillel
בית העמק,572,Bet HaEmeq
בית הערבה,3645,Bet HaArava
בית השיטה,242,Bet HaShitta
בית זיד,353,Bet Zeid
בית זית,710,Bet Zayit
בית זרע,143,Bet Zera
בית חולים פוריה,1712,
בית חורון,3575,Bet Horon
בית חירות,877,Bet Herut
בית חלקיה,2033,Bet Hilqiyya
בית חנן,159,Bet Hanan
בית חנניה,800,Bet Hananya
בית חשמונאי,1050,Bet Hashmonay
בית יהושע,288,Bet Yehoshua
בית יוסף,265,Bet Yosef
בית ינאי,200,Bet Yannay
בית יצחק-שער חפר,326,Bet Yizhaq-Sh. Hefer
בית לחם הגלילית,430,Bet Lehem HaGelilit
בית מאיר,751,Bet Me'ir
בית נחמיה,784,Bet Nehemya
בית ניר,16,Bet Nir
בית נקופה,672,Bet Neqofa
בית עובד,202,Bet Oved
בית עוזיאל,301,Bet Uzzi'el
בית עזרא,756,Bet Ezra
בית עריף,604,Bet Arif
בית צבי,212,Bet Zevi
בית קמה,598,Bet Qama
בית קשת,365,Bet Qeshet
בית רבן,848,Bet Rabban
בית רימון,1162,Bet Rimmon
בית שאן,9200,Bet She'an
בית שמש,2610,Bet Shemesh
בית שערים,248,Bet She'arim
בית שקמה,747,Bet Shiqma
ביתן אהרן,252,Bitan Aharon
ביתר עילית,3780,Betar Illit
בלפוריה,94,Balfurya
בן זכאי,760,Ben Zakkay
בן עמי,712,Ben Ammi
בן שמן (כפר נוער),1084,Ben Shemen(K.No'ar)
בן שמן (מושב),2013,Ben Shemen (Moshav)
בני ברק,6100,Bene Beraq
בני דקלים,1368,Bne Dkalim
בני דרום,592,Bene Darom
בני דרור,386,Bene Deror
בני יהודה,4015,Bene Yehuda
בני נצרים,1363,Bne Netsarim
בני עטרות,448,Bene Atarot
"בני עי""ש",1066,Bene Ayish
בני ציון,418,Bene Ziyyon
בני ראם,588,Bene Re'em
בניה,685,Benaya
בנימינה-גבעת עדה*,9800,Binyamina-Giv'at Ada
"בסמ""ה",1326,Basma
בסמת טבעון,944,Basmat Tab'un
בענה,483,Bi'ne
בצרה,389,Bazra
בצת,589,Bezet
בקוע,864,Beqoa
בקעות,3612,Beqa'ot
"בקעת נטופה מ""א 56",1854,
"בקעת תירען מ""א 3",1884,
בר-לב,1728,
בר גיורא,823,Bar Giyyora
בר יוחאי,1191,Bar Yohay
ברוכין,3744,Brukhin
ברור חיל,428,Beror Hayil
ברוש,2060,Berosh
ברכה,3710,Berakha
ברכיה,746,Berekhya
ברעם,667,Bar'am
ברק,141,Baraq
ברקאי,617,Barqay
ברקן,3654,Barqan
ברקת,2038,Bareqet
בת הדר,1323,Bat Hadar
בת חן,1361,Bat Hen
בת חפר,1319,Bat Hefer
בת ים,6200,Bat Yam
בת עין,3794,Bat Ayin
בת שלמה,33,Bat Shelomo
בתי זיקוק - קישון,1736,
ג'דיידה-מכר,1292,Judeide-Maker
ג'ולס,485,Julis
ג'לג'וליה,627,Jaljulye
ג'נאביב (שבט),976,Janabib
ג'סר א-זרקא,541,Jisr Az-Zarqa
ג'ש (גוש חלב),487,Jish(Gush Halav)
ג'ת,628,Jatt
גאולי תימן,872,Ge'ule Teman
גאולים,379,Ge'ulim
"גאון הירדן מ""א 3",1963,
גאליה,853,Ge'alya
גבולות,352,Gevulot
גבים,424,Gevim
גבע,86,Geva
גבע בנימין,3763,Geva Binyamin
גבע כרמל,683,Geva Karmel
גבעולים,2014,Giv'olim
גבעון החדשה,3644,Giv'on HaHadasha
גבעות בר,1344,Geva'ot Bar
גבעת אבני,1293,Giv'at Avni
גבעת אלה,1288,Giv'at Ela
גבעת ברנר,147,Giv'at Brenner
גבעת השלושה,870,Giv'at HaShelosha
גבעת זאב,3730,Giv'at Ze'ev
"גבעת ח""ן",207,Giv'at Hen
גבעת חביבה,1740,
גבעת חיים (איחוד),2018,Giv'at Hayyim (Ihud)
גבעת חיים (מאוחד),173,Giv'at Hayyim(Me'uhad)
גבעת יואב,4021,Giv'at Yo'av
גבעת יערים,787,Giv'at Ye'arim
גבעת ישעיהו,919,Giv'at Yesha'yahu
"גבעת כ""ח",802,Giv'at Koah
"גבעת ניל""י",360,Giv'at Nili
גבעת עוז,703,Giv'at Oz
גבעת שמואל,681,Giv'at Shemu'el
גבעת שמש,566,Giv'at Shemesh
גבעת שפירא,1077,Giv'at Shappira
גבעתי,793,Giv'ati
גבעתיים,6300,Giv'atayim
גברעם,342,Gevar'am
גבת,133,Gevat
גדות,35,Gadot
גדיש,145,Gadish
גדעונה,442,Gid'ona
גדרה,2550,Gedera
"גולן דרומי מ""א 71",1966,
"גולן צפוני מ""א 71",1962,
"גולן תיכון מ""א 71",1964,
גונן,852,Gonen
גורן,755,Goren
גורנות הגליל,1219,Gornot HaGalil
גזית,457,Gazit
גזר,370,Gezer
גיאה,706,Ge'a
גיבתון,196,Gibbeton
גיזו,1043,Gizo
גילון,1204,Gilon
גילת,736,Gilat
גינוסר,262,Ginnosar
גיניגר,92,Ginnegar
גינתון,863,Ginnaton
גיתה,1206,Gitta
גיתית,3613,Gittit
גלאון,393,Gal'on
גלגל,3606,Gilgal
גליל ים,346,Gelil Yam
"גליל עליון מז מ""א 1",1809,
"גליל עליון מז מ""א 2",1811,
"גליל עליון מז מ""א 55",1810,
"גליל עליון מז של""ש",1812,
"גליל תחתון מז מ""א 2",1820,
"גליל תחתון מז מ""א 3",1819,
"גליל תחתון מז מ""א 6",1821,
"גליל תחתון מז של""ש",1822,
גלעד (אבן יצחק),369,Gal'ed (Even Yizhaq)
"גמ""ל מחוז דרום",1997,
גמזו,745,Gimzo
גן הדרום,1072,Gan HaDarom
גן השומרון,225,Gan HaShomeron
גן חיים,239,Gan Hayyim
גן יאשיה,734,Gan Yoshiyya
גן יבנה,166,Gan Yavne
גן נר,1274,Gan Ner
גן שורק,311,Gan Soreq
גן שלמה,144,Gan Shelomo
גן שמואל,72,Gan Shemu'el
גנות,836,Gannot
גנות הדר,549,Gannot Hadar
גני הדר,1103,Ganne Hadar
גני טל,1371,Ganne Tal
גני יוחנן,862,Ganne Yohanan
גני מודיעין,3823,Ganne Modi'in
גני עם,218,Ganne Am
גני תקווה,229,Ganne Tiqwa
געש,842,Ga'ash
געתון,463,Ga'ton
גפן,39,Gefen
גרופית,1129,Gerofit
גשור,4022,Geshur
גשר,305,Gesher
גשר הזיו,574,Gesher HaZiw
גת (קיבוץ),340,Gat(Qibbuz)
גת רימון,128,Gat Rimmon
דאלית אל-כרמל,494,Daliyat Al-Karmel
דבורה,146,Devora
דבורייה,489,Daburiyya
דבירה,849,Devira
דברת,407,Daverat
דגניה א',62,Deganya Alef
דגניה ב',79,Deganya Bet
"דוב""ב",1067,Dovev
דולב,3747,Dolev
דור,738,Dor
דורות,336,Dorot
דחי,475,Dahi
דייר אל-אסד,490,Deir Al-Asad
דייר חנא,492,Deir Hanna
דייר ראפאת,493,Deir Rafat
דימונה,2200,Dimona
דישון,2063,Dishon
דלייה,300,Daliyya
דלתון,431,Dalton
דלתון,1709,
דמיידה,1317,Demeide
דן,303,Dan
דפנה,302,Dafna
דקל,1241,Deqel
"דרום השרון מ""א 18",1881,
"דרום השרון מ""א 20",1882,
"דרום השרון של""ש",1885,
דרום יהודה,1998,
דריג'את,1349,Derig'at
האון,702,HaOn
הבונים,675,HaBonim
הגושרים,356,HaGosherim
הדר עם,191,Hadar Am
הוד השרון,9700,Hod HaSharon
הודיות,1322,Hodayot
הודייה,726,Hodiyya
הוואשלה (שבט),1169,Al-Hawashila
הוזייל (שבט),956,Al-Huzayyil
הושעיה,1186,Hosha'aya
הזורע,250,HaZorea
הזורעים,307,HaZore'im
החותרים,434,HaHoterim
היוגב,684,HaYogev
הילה,1208,Hilla
המעפיל,377,HaMa'pil
המרכז למחקר-נחל שורק,1751,
הסוללים,677,HaSolelim
העוגן,423,HaOgen
"הערבה מ""א 51",1944,
"הערבה מ""א 53",1945,
"הערבה מ""א 54",1946,
הר אדר,3769,Har Adar
"הר אלכסנדר מ""א 14",1869,
"הר אלכסנדר מ""א 45",1868,
"הר אלכסנדר של""ש",1870,
הר גילה,3603,Har Gillo
"הר הנגב הדרומי מ""א 48",1953,
"הר הנגב הדרומי מ""א 53",1951,
"הר הנגב הדרומי מ""א 54",1952,
"הר הנגב הצפוני מ""א 48",1948,
"הר הנגב הצפוני מ""א 51",1949,
"הר הנגב הצפוני מ""א 53",1947,
"הר הנגב הצפוני מ""א 54",1950,
הר עמשא,1261,Har Amasa
הראל,464,Har'el
הרדוף,1249,Harduf
"הרי יהודה מ""א 26",1801,
"הרי יהודה של""ש",1802,
הרי נצרת-תירען,1823,
"הרי נצרת-תירען מ""א 9",1839,
הרצלייה,6400,Herzliyya
הררית,1203,Hararit
השומרון,1999,
ורד יריחו,3639,Wered Yeriho
ורדון,1133,Wardon
זבארגה (שבט),2742,Az-Zabarika
זבדיאל,815,Zavdi'el
זוהר,44,Zohar
זיקים,584,Ziqim
זיתן,788,Zetan
זכרון יעקב,9300,Zikhron Ya'aqov
זכריה,799,Zekharya
זמר,1290,Zemer
זמרת,1065,Zimrat
זנוח,816,Zanoah
זרועה,2064,Zeru'a
זרזיר,975,Zarzir
זרחיה,818,Zerahya
ח'ואלד,1321,Khawaled
ח'ואלד (שבט),986,Khawalid / Al-Khawalid
חבצלת השרון,235,Havazzelet HaSharon
חבר,1110,Hever
חגור,717,Hagor
חגי,3764,Haggay
חגלה,205,Hogla
חד-נס,4026,Had-Nes
חדיד,618,Hadid
חדרה,6500,Hadera
חוג'ייראת (ד'הרה) (שבט),948,Al-Hujayrat (Zahra)
חולדה,160,Hulda
חולון,6600,Holon
חולית,1239,Holit
חולתה,253,Hulata
חוסן,662,Hosen
חוסנייה,1332,Hussniyya
"חוף הכרמל מ""א 15",1864,
חופית,115,Hofit
חוקוק,374,Huqoq
חורה,1303,Hura
חורפיש,496,Hurfeish
חורשים,355,Horeshim
חזון,1047,Hazon
חיבת ציון,219,Hibbat Ziyyon
חיננית,3643,Hinnanit
חיפה,4000,Haifa
חירות,162,Herut
חלוץ,1272,Haluz
חלץ,820,Helez
חמאם,993,Hamam
חמד,801,Hemed
חמדיה,343,Hamadya
חמדת,3646,Hemdat
חמרה,3609,Hamra
חניאל,807,Hanni'el
חניתה,280,Hanita
חנתון,1257,Hannaton
חספין,4005,Haspin
חפץ חיים,363,Hafez Hayyim
חפצי-בה,90,Hefzi-Bah
חצב,700,Hazav
חצבה,13,Hazeva
חצור-אשדוד,406,Hazor-Ashdod
חצור הגלילית,2034,Hazor HaGelilit
חצרים,397,Hazerim
חרב לאת,422,Herev Le'Et
חרוצים,1024,Haruzim
חריש,1247,Harish
"חרמון מ""א 71",1960,
חרמש,3717,Hermesh
חרשים,1209,Harashim
חשמונאים,3770,Hashmona'im
טבריה,6700,Tiberias
טובא-זנגרייה,962,Tuba-Zangariyye
טורעאן,498,Tur'an
טייבה,2730,Tayibe
טייבה (בעמק),497,Tayibe(Baemeq)
טירה,2720,Tire
טירת יהודה,663,Tirat Yehuda
טירת כרמל,2100,Tirat Karmel
טירת צבי,268,Tirat Zevi
טל-אל,1181,Tal-El
טל שחר,462,Tal Shahar
טללים,1177,Telalim
טלמון,3788,Talmon
טמרה,8900,Tamra
טמרה (יזרעאל),547,Tamra (Yizre'el)
טנא,3743,Tene
טפחות,1214,Tefahot
יאנוח-ג'ת,1295,Yanuh-Jat
יבול,1232,Yevul
יבנאל,46,Yavne'el
יבנה,2660,Yavne
יגור,96,Yagur
יגל,798,Yagel
יד בנימין,577,Yad Binyamin
יד השמונה,1134,Yad HaShemona
יד חנה,758,Yad Hanna
יד מרדכי,358,Yad Mordekhay
יד נתן,775,Yad Natan
"יד רמב""ם",64,Yad Rambam
ידידה,1144,Yedida
יהוד,9400,Yehud
יהל,1158,Yahel
יובל,2009,Yuval
יובלים,1226,Yuvallim
יודפת,1112,Yodefat
יונתן,4007,Yonatan
יושיביה,803,Yoshivya
יזרעאל,452,Yizre'el
יחיעם,409,Yehi'am
יטבתה,866,Yotvata
"ייט""ב",3607,Yitav
יכיני,811,Yakhini
ים המלח - בתי מלון,1772,
ינוב,753,Yanuv
ינון,2011,Yinnon
יסוד המעלה,29,Yesud HaMa'ala
יסודות,440,Yesodot
יסעור,575,Yas'ur
יעד,1138,Ya'ad
יעל,1117,Ya'el
יעף,1044,Ye'af
יערה,795,Ya'ara
"יערות גבעת המורה מ""א 9",1863,
יפיע,499,Yafi
יפית,3566,Yafit
יפעת,134,Yif'at
יפתח,453,Yiftah
יצהר,3749,Yizhar
יציץ,759,Yaziz
יקום,417,Yaqum
יקיר,3647,Yaqir
יקנעם (מושבה),241,Yoqne'am(Moshava)
יקנעם עילית,240,Yoqne'am Illit
יראון,623,Yir'on
ירדנה,2026,Yardena
ירוחם,831,Yeroham
ירושלים,3000,Jerusalem
ירחיב,718,Yarhiv
ירכא,502,Yirka
ירקונה,183,Yarqona
ישע,916,Yesha
ישעי,805,Yish'i
ישרש,828,Yashresh
יתד,1227,Yated
כאבול,504,Kabul
כאוכב אבו אל-היג'א,505,Kaokab Abu Al-Hija
כברי,576,Kabri
כדורי,371,Kadoorie
כדיתה,1338,Kaddita
כוכב השחר,3564,Kokhav HaShahar
כוכב יאיר,1224,Kokhav Ya'ir
כוכב יעקב,3779,Kokhav Ya'aqov
כוכב מיכאל,824,Kokhav Mikha'el
כורזים,1252,Korazim
כחל,1210,Kahal
כחלה,1367,Kochlea
כיסופים,840,Kissufim
כישור,1153,Kishor
כליל,1183,Kelil
כלנית,1229,Kallanit
כמאנה,1331,Kamane
כמהין,1291,Kemehin
כמון,1201,Kammon
כנות,2006,Kannot
כנף,4028,Kanaf
כנרת (מושבה),63,Kinneret(Moshava)
כנרת (קבוצה),57,Kinneret(Qevuza)
כסיפה,1059,Kuseife
כסלון,859,Kesalon
כסרא-סמיע,1296,Kisra-Sumei
כעביה-טבאש-חג'אג'רה,978,Ka'abiyye-Tabbash-Hajajre
כפר אביב,857,Kefar Aviv
כפר אדומים,3638,Kefar Adummim
כפר אוריה,364,Kefar Uriyya
כפר אחים,690,Kefar Ahim
כפר ביאליק,220,Kefar Bialik
"כפר ביל""ו",177,Kefar Bilu
כפר בלום,357,Kefar Blum
כפר בן נון,2010,Kefar Bin Nun
כפר ברא,633,Kafar Bara
כפר ברוך,132,Kefar Barukh
כפר גדעון,106,Kefar Gid'on
כפר גלים,427,Kefar Gallim
כפר גליקסון,310,Kefar Glikson
כפר גלעדי,76,Kefar Gil'adi
כפר דניאל,707,Kefar Daniyyel
כפר האורנים,3796,Kefar HaOranim
כפר החורש,192,Kefar HaHoresh
כפר המכבי,254,Kefar HaMakkabbi
כפר הנגיד,582,Kefar HaNagid
כפר הנוער הדתי,890,Kefar HaNo'ar Hadati
כפר הנשיא,443,Kefar HaNasi
כפר הס,187,Kefar Hess
"כפר הרא""ה",217,Kefar HaRo'e
"כפר הרי""ף",888,Kefar Harif
כפר ויתקין,190,Kefar Vitkin
כפר ורבורג,320,Kefar Warburg
כפר ורדים,1263,Kefar Weradim
כפר זוהרים,1325,Kefar Zoharim
כפר זיתים,786,Kefar Zetim
"כפר חב""ד",696,Kefar Habad
כפר חושן,609,Kefar Hoshen
כפר חיטים,255,Kefar Hittim
כפר חיים,193,Kefar Hayyim
כפר חנניה,1297,Kefar Hananya
כפר חסידים א',112,Kefar Hasidim Alef
כפר חסידים ב',889,Kefar Hasidim Bet
כפר חרוב,4004,Kefar Haruv
כפר טרומן,673,Kefar Truman
כפר יאסיף,507,Kafar Yasif
כפר ידידיה,233,Kefar Yedidya
כפר יהושע,140,Kefar Yehoshua
כפר יונה,168,Kefar Yona
כפר יחזקאל,85,Kefar Yehezqel
כפר יעבץ,170,Kefar Ya'bez
כפר כמא,508,Kafar Kama
כפר כנא,509,Kafar Kanna
כפר מונש,387,Kefar Monash
כפר מימון,1095,Kefar Maymon
"כפר מל""ל",98,Kefar Malal
כפר מנדא,510,Kafar Manda
כפר מנחם,274,Kefar Menahem
